,,,,latency (ns),latency (ms),latency (s),,Max (ms),Mean (ms),Min (ms)
2,27,2.01811E+12,2.01811E+12,164104,164.104,0.164104,,,,
3,27,2.01812E+12,2.01812E+12,249835,249.835,0.249835,,,,
4,27,2.01813E+12,2.01813E+12,159575,159.575,0.159575,,,,
5,27,2.01814E+12,2.01814E+12,175822,175.822,0.175822,,,,
6,27,2.01815E+12,2.01815E+12,147618,147.618,0.147618,,,,
7,27,2.01816E+12,2.01816E+12,169182,169.182,0.169182,,,,
8,27,2.01818E+12,2.01818E+12,147410,147.41,0.14741,,,,
9,27,2.01819E+12,2.01819E+12,156477,156.477,0.156477,,,,
10,27,2.0182E+12,2.0182E+12,169488,169.488,0.169488,,,,
1,28,2.01821E+12,2.01821E+12,118128,118.128,0.118128,,,,
2,28,2.01822E+12,2.01822E+12,192136,192.136,0.192136,,,,
3,28,2.01823E+12,2.01823E+12,188193,188.193,0.188193,,,,
4,28,2.01824E+12,2.01824E+12,190791,190.791,0.190791,,,,
5,28,2.01825E+12,2.01825E+12,137787,137.787,0.137787,,,,
6,28,2.01826E+12,2.01826E+12,112555,112.555,0.112555,,,,
7,28,2.01827E+12,2.01827E+12,158525,158.525,0.158525,,,,
8,28,2.01828E+12,2.01828E+12,204856,204.856,0.204856,,,,
9,28,2.01829E+12,2.01829E+12,179989,179.989,0.179989,,,,
10,28,2.0183E+12,2.0183E+12,152056,152.056,0.152056,,,,
1,29,2.01831E+12,2.01831E+12,154681,154.681,0.154681,,,,
2,29,2.01832E+12,2.01832E+12,165569,165.569,0.165569,,,,
3,29,2.01833E+12,2.01833E+12,194228,194.228,0.194228,,,,
4,29,2.01834E+12,2.01834E+12,166725,166.725,0.166725,,,,
5,29,2.01835E+12,2.01835E+12,155988,155.988,0.155988,,,,
6,29,2.01836E+12,2.01836E+12,112625,112.625,0.112625,,,,
7,29,2.01837E+12,2.01837E+12,172894,172.894,0.172894,,,,
8,29,2.01838E+12,2.01838E+12,175235,175.235,0.175235,,,,
9,29,2.0184E+12,2.0184E+12,187766,187.766,0.187766,,,,
10,29,2.01841E+12,2.01841E+12,161797,161.797,0.161797,,,,
1,30,2.01842E+12,2.01842E+12,145065,145.065,0.145065,,,,
2,30,2.01843E+12,2.01843E+12,142757,142.757,0.142757,,,,
3,30,2.01844E+12,2.01844E+12,189188,189.188,0.189188,,,,
4,30,2.01845E+12,2.01845E+12,158541,158.541,0.158541,,,,
5,30,2.01846E+12,2.01846E+12,153338,153.338,0.153338,,,,
6,30,2.01847E+12,2.01847E+12,142239,142.239,0.142239,,,,
7,30,2.01848E+12,2.01848E+12,201460,201.46,0.20146,,,,
8,30,2.01849E+12,2.01849E+12,180373,180.373,0.180373,,,,
9,30,2.0185E+12,2.0185E+12,164938,164.938,0.164938,,,,
10,30,2.01851E+12,2.01851E+12,167766,167.766,0.167766,,,,
1,31,2.01852E+12,2.01852E+12,152409,152.409,0.152409,,,,
2,31,2.01853E+12,2.01853E+12,163235,163.235,0.163235,,,,
3,31,2.01854E+12,2.01854E+12,213043,213.043,0.213043,,,,
4,31,2.01855E+12,2.01855E+12,161266,161.266,0.161266,,,,
5,31,2.01856E+12,2.01856E+12,154984,154.984,0.154984,,,,
6,31,2.01857E+12,2.01857E+12,133006,133.006,0.133006,,,,
7,31,2.01858E+12,2.01858E+12,166489,166.489,0.166489,,,,
8,31,2.01859E+12,2.01859E+12,160722,160.722,0.160722,,,,
9,31,2.0186E+12,2.0186E+12,180251,180.251,0.180251,,,,
10,31,2.01861E+12,2.01861E+12,161027,161.027,0.161027,,,,
1,32,2.01862E+12,2.01862E+12,162848,162.848,0.162848,,,,
2,32,2.01863E+12,2.01863E+12,145289,145.289,0.145289,,,,
3,32,2.01864E+12,2.01864E+12,199359,199.359,0.199359,,,,
